630/(4y-5-9+2y)-56=7;new
630/(4y-5-9+2y)=7 + 56;
630/(4y-5-9+2y)=61;sum_operation_mistake
630=61*(4y-5-9+2y);
630/61=(4y-5-9+2y);
10=(4y-5-9+2y);mul_mistake
10=4y-5-9+2y;
24=6y;
5=y;mul_mistake

320(78-5x-2x)/2/8-=370/5;new
320(78-5x-2x)/16-=370/5;
20(78-5x-2x)=370/5;
20/5(78-5x-2x)=370;multiplication_commutativity
4(78-5x-2x)=370;
78-5x-2x=370/4;
78-5x-2x=90;mul_mistake
7x = 12;negative_first_number
x = 2;mul_mistake

32*(15-2d+12d-8)/8/2=440;new
32*(15-2d+12d-8)/16=440;
2*(15-2d+12d-8)=440;
(15-2d+12d-8)=880;multiplication_commutativity
15+14d-8=880;additional_operands_reducing
14d=882;sum_operation_mistake
d = 63;

144(83-4y+6y-8y)/12/6=17*2;new
12(83-4y+6y-8y)/6=17*2;
2(83-4y+6y-8y)=17*2;
(83-4y+6y-8y)=17;
83-4y+6y+8y=17;brackets_open_only_for_first_argument
83+10y=17;
10y=75;negative_first_number
y=7.5;

4(5x+x+120)/24+3x=660/5;new
20(5x+x+120)/24+3x=660;mul_mistake
(5x+x+120)/24+3x=33;mul_mistake
(5x+x+120)+3x=33*24;mul_mistake
9x = 33*24-120;
9x =792-120;
x=74;mul_mistake

84-16a-18a=8a;new
84-34a=8a;
84=42a;
a = 84 / 42;
a = 3;mul_mistake


;
(7(x + 10) - 23) / 4 - 13 = 30;new
(7(x + 10) - 23) / 4 = 16;sum_operation_mistake
7(x + 10) - 23 = 64;
7(x + 10) = 91;sum_operation_mistake
x + 10 = 13;
x = 3;

((0.5a + 4) / 15 * 3 - 12) * 4 + 14 = 14;new
((0.5a + 4) / 15 * 3 - 12) * 4 = 0;
(0.5a + 4) / 15 * 3 - 12 = 0;
(0.5a + 4) / 15 * 3 = 12;
(0.5a + 4) / 15 = 5;mul_mistake
0.5a + 4 = 75;
0.5a = 71;
a = 162;mul_mistake

((2y - 23) / 25 + 2) * 11 - 7= 37;new
((2y - 23) / 25 + 2) * 11 = 44;
(2y - 23) / 25 + 2 = 4;
(2y - 23) / 25 = 2;
2y + 23 = 50;brackets_open_mistake
2y = 73;
y = 36;mul_mistake

((16b - 1) * 7 + 1) / 100 * 30 = 15;new
((16b - 1) * 7 + 1) / 100 = 0.5;
(16b - 1) * 7 + 1 = 50;
(16b - 1) * 7 = 50;sum_operation_mistake
16b - 1 = 7;mul_mistake
16b = 8;
b = 0.5;
;
((17(3c - 5) - 3) / 7 * 16 + 8) / 8 = 5;new
(17(3c - 5) - 3) / 7 * 16 + 8 = 40;
(17(3c - 5) - 3) / 7 * 16 = 32;
(17(3c - 5) - 3) / 7 = 2;
17(3c - 5) - 3 = 16;mul_mistake
17(3c - 5) = 17;
3c - 5 = 1;
3c = -3;sum_operation_mistake
c = -1;

;
((x * 4 - 7) * 2 - 14) / 7 = 4;new
(x * 4 - 7) * 2 - 14 = 28;
(x * 4 - 7) * 2 = 32;sum_operation_mistake
x * 4 + 7 = 16;brackets_open_mistake
x * 4 = 8;sum_operation_mistake
x = 2;

((2a -5) * 8 + 8) / 60 + 13 - 4 = 19;new
((2a -5) * 8 + 8) / 60 + 13 = 15;
((2a -5) * 8 + 8) / 60 = 28;sum_operation_mistake
